Title,Directors,Rate,Runtime(mins),Year,NumVotes,ReleaseDate(month/day/year)
The Avengers: Os Vingadores,Joss Whedon,8.1,143,2012,1064170,2012-04-11
Batman: O Cavaleiro das Trevas,Christopher Nolan,9.0,152,2008,1838480,2008-07-14
Homem de Ferro,Jon Favreau,7.9,126,2008,755462,2008-04-14
Batman: O Cavaleiro das Trevas Ressurge,Christopher Nolan,8.4,164,2012,1253052,2012-07-16
X-Men: First Class,Matthew Vaughn,7.8,132,2011,561253,2011-05-25
Superman: O Filme,Richard Donner,7.3,143,1978,135800,1978-12-10
Thor,Kenneth Branagh,7.0,115,2011,585486,2011-04-17
X-Men 2,Bryan Singer,7.5,134,2003,440992,2003-04-24
Batman Begins,Christopher Nolan,8.3,152,2005,1075328,2005-05-31
Kick-Ass: Quebrando Tudo,Matthew Vaughn,7.7,117,2010,465307,2010-03-12
Homem-Aranha 2,Sam Raimi,7.3,127,2004,451198,2004-06-25
Os Incríveis,Brad Bird,8.0,115,2004,520616,2004-10-27
Watchmen: O Filme,Zack Snyder,7.6,162,2009,418822,2009-02-23
Hellboy,Guillermo del Toro,6.8,122,2004,261399,2004-03-30
Batman,Tim Burton,7.6,126,1989,288711,1989-06-19
O Espetacular Homem-Aranha,Marc Webb,7.0,136,2012,484711,2012-06-13
O Corvo,Alex Proyas,7.6,102,1994,144909,1994-05-10
Superman II - A Aventura Continua,Richard Lester,6.8,127,1980,82678,1980-12-04
Capitão América: O Primeiro Vingador,Joe Johnston,6.9,124,2011,563138,2011-07-19
X-Men: O Filme,Bryan Singer,7.4,104,2000,492948,2000-07-12
Hellboy II: O Exército Dourado,Guillermo del Toro,7.0,120,2008,221148,2008-06-28
Corpo Fechado,M. Night Shyamalan,7.2,106,2000,280301,2000-11-14
Batman: O Retorno,Tim Burton,7.0,126,1992,231907,1992-06-16
Homem de Ferro 2,Jon Favreau,7.0,124,2010,571080,2010-04-26
Homem-Aranha,Sam Raimi,7.3,121,2002,586736,2002-04-30
Blade - O Caçador de Vampiros,Stephen Norrington,7.1,120,1998,206612,1998-08-19
Rocketeer,Joe Johnston,6.4,108,1991,45608,1991-06-19
Quase Super-Heróis,Kinka Usher,6.1,121,1999,56141,1999-07-22
Batman - O Homem Morcego,Leslie H. Martinson,6.5,105,1966,25352,1966-07-30
O Incrível Hulk,Louis Leterrier,6.8,112,2008,350232,2008-06-06
Megamente,Tom McGrath,7.3,95,2010,188139,2010-10-28
Poder Sem Limites,Josh Trank,7.1,84,2012,216458,2012-01-28
Demolidor: O Homem Sem Medo,Mark Steven Johnson,5.3,103,2003,185358,2003-02-09
Blade II - O Caçador de Vampiros,Guillermo del Toro,6.7,117,2002,171231,2002-03-21
X-Men Origens: Wolverine,Gavin Hood,6.7,107,2009,397637,2009-04-08
Superman: O Retorno,Bryan Singer,6.1,154,2006,249583,2006-06-21
O Justiceiro,Jonathan Hensleigh,6.5,124,2004,132064,2004-04-15
Super Escola de Heróis,Mike Mitchell,6.2,100,2005,66411,2005-07-24
O Sombra,Russell Mulcahy,6.0,108,1994,19956,1994-07-01
Super,James Gunn,6.8,96,2010,65669,2010-09-10
Batman Eternamente,Joel Schumacher,5.4,121,1995,203872,1995-06-09
Lanterna Verde,Martin Campbell,5.6,114,2011,235504,2011-06-14
Hulk,Ang Lee,5.7,138,2003,223862,2003-06-17
Hancock,Peter Berg,6.4,92,2008,374839,2008-06-16
O Procurado,Timur Bekmambetov,6.7,110,2008,317382,2008-06-12
Condorman - O Homem-Pássaro,Charles Jarrott,5.8,90,1981,3782,1981-07-02
Darkman - Vingança Sem Rosto,Sam Raimi,6.4,96,1990,50558,1990-08-24
Quarteto Fantástico,Tim Story,5.7,106,2005,280157,2005-06-29
X-Men: O Confronto Final,Brett Ratner,6.7,104,2006,415246,2006-05-22
Homem-Aranha 3,Sam Raimi,6.2,139,2007,416621,2007-04-03
Supergirl,Jeannot Szwarc,4.3,105,1984,15352,1984-07-19
Superman III,Richard Lester,4.9,125,1983,54127,1983-06-17
Superman IV: Em Busca da Paz,Sidney J. Furie,3.6,90,1987,35851,1987-07-23
Motoqueiro Fantasma,Mark Steven Johnson,5.2,114,2007,194063,2007-01-15
Motoqueiro Fantasma: Espírito de Vingança,"Neveldine, Taylor",4.3,96,2011,94565,2011-12-11
The Return of Captain Invincible,Philippe Mora,5.7,96,1983,560,1983-10
Blade: Trinity,David S. Goyer,5.9,113,2004,143404,2004-12-07
O Justiceiro,Mark Goldblatt,5.7,89,1989,17662,1989-10-05
Capitão América,Albert Pyun,3.3,97,1990,9235,1990-12-14
Jonah Hex - Caçador de Recompensas,Jimmy Hayward,4.7,81,2010,48496,2010-06-17
Steel - O Homem De Aço,Kenneth Johnson,2.8,97,1997,9284,1997-08-15
Mulher-Gato,Pitof,3.3,104,2004,93311,2004-07-19
Elektra,Rob Bowman,4.8,97,2005,75802,2005-01-08
O Justiceiro: Em Zona de Guerra,Lexi Alexander,6.0,103,2008,52448,2008-12-04
Batman & Robin,Joel Schumacher,3.7,125,1997,202272,1997-06-12
V de Vingança,James McTeigue,8.2,132,2005,866578,2005-12-11
A Liga Extraordinária,Stephen Norrington,5.8,110,2003,148661,2003-07-11
Darkman II - O Retorno de Durant,Bradford May,5.1,93,1995,3923,1995-07-11
Darkman 3 - Enfrentando a Morte,Bradford May,4.7,87,1996,2863,1996-08-20
O Besouro Verde,Michel Gondry,5.8,119,2011,142058,2011-01-12
O Fantasma,Simon Wincer,4.9,100,1996,28880,1996-06-07
Defendor,Peter Stebbings,6.8,101,2009,32833,2009-09-12
Super-Herói: O Filme,Craig Mazin,4.5,75,2008,55365,2008-03-27
Spawn: O Soldado do Inferno,Mark A.Z. Dippé,5.2,96,1997,56203,1997-07
Minha Super Ex-Namorada,Ivan Reitman,5.1,96,2006,56118,2006-07-20
The Spirit: O Filme,Frank Miller,4.8,103,2008,55597,2008-12-25
O Corvo: A Cidade dos Anjos,Tim Pope,4.5,84,1996,16706,1996-08-30
O Corvo: Salvação,Bharat Nalluri,5.0,102,2000,9412,2000-01-23
O Corvo - Vingança Maldita,Lance Mungia,3.0,99,2005,7336,2005-06-03
Vira-Lata,Frederik Du Chau,4.8,84,2007,16771,2007-08-03
O Máskara,Charles Russell,6.9,101,1994,286200,1994-07-28
O Filho do Máscara,Lawrence Guterman,2.2,94,2005,44491,2005-02-11
As Aventuras de Sharkboy e Lavagirl em 3-D,Robert Rodriguez,3.5,93,2005,22663,2005-06-10
Os Especiais,Craig Mazin,6.0,82,2000,2010,2000-09-18
Mestres do Universo,Gary Goddard,5.4,106,1987,30364,1987-08-07
Iron Man 3,Shane Black,7.2,130,2013,604978,2013-04-12
O Homem de Aço,Zack Snyder,7.1,143,2013,590457,2013-06-10
Kick-Ass 2,Jeff Wadlow,6.6,103,2013,219741,2013-08-14
Wolverine: Imortal,James Mangold,6.7,126,2013,364723,2013-07-16
Thor: O Mundo Sombrio,Alan Taylor,7.0,112,2013,455722,2013-10-22
